2026-04-23 12:31:18 - Ambil 38, Masuk 4
2026-04-23 12:32:20 - Ambil 38, Masuk 0
2026-04-23 12:33:21 - Ambil 38, Masuk 4
2026-04-23 12:34:22 - Ambil 38, Masuk 3
2026-04-23 12:35:23 - Ambil 38, Masuk 0
2026-04-23 12:36:24 - Ambil 38, Masuk 2
2026-04-23 12:37:24 - Ambil 38, Masuk 0
2026-04-23 12:45:15 - Ambil 103, Masuk 69
2026-04-23 12:46:18 - Ambil 103, Masuk 0
2026-04-23 12:47:21 - Ambil 103, Masuk 1
2026-04-23 12:48:22 - Ambil 103, Masuk 1
2026-04-23 12:49:23 - Ambil 103, Masuk 3
2026-04-23 12:50:25 - Ambil 103, Masuk 0
2026-04-23 12:51:27 - Ambil 103, Masuk 3
2026-04-23 12:52:28 - Ambil 103, Masuk 0
2026-04-23 12:53:29 - Ambil 103, Masuk 0
2026-04-23 12:54:31 - Ambil 103, Masuk 1
2026-04-23 12:55:32 - Ambil 103, Masuk 0
2026-04-23 12:56:34 - Ambil 103, Masuk 1
2026-04-23 12:57:36 - Ambil 103, Masuk 2
2026-04-23 14:10:09 - Ambil 103, Masuk 42
2026-04-23 14:20:38 - Ambil 103, Masuk 13
2026-04-24 16:13:20 - Ambil 103, Masuk 103
2026-04-24 16:14:22 - Ambil 103, Masuk 1
2026-04-24 16:15:25 - Ambil 103, Masuk 7
2026-04-24 16:16:27 - Ambil 103, Masuk 0
2026-04-24 16:17:29 - Ambil 103, Masuk 2
2026-04-24 16:18:31 - Ambil 103, Masuk 0
2026-04-24 16:19:36 - Ambil 103, Masuk 0
2026-04-24 16:20:40 - Ambil 103, Masuk 8
2026-04-24 16:21:43 - Ambil 103, Masuk 0
2026-04-24 16:22:45 - Ambil 103, Masuk 6
2026-04-24 16:23:48 - Ambil 103, Masuk 0
2026-04-24 16:24:51 - Ambil 103, Masuk 2
2026-04-24 16:25:54 - Ambil 103, Masuk 0
2026-04-24 16:26:57 - Ambil 103, Masuk 1
2026-04-24 16:27:59 - Ambil 103, Masuk 3
2026-04-24 16:29:02 - Ambil 103, Masuk 3
2026-04-24 16:30:25 - Ambil 103, Masuk 2
2026-04-24 16:31:28 - Ambil 103, Masuk 2
2026-04-24 16:32:32 - Ambil 53, Masuk 0
2026-04-24 16:34:13 - Ambil 103, Masuk 6
2026-04-24 16:40:22 - Ambil 103, Masuk 4
2026-04-24 16:41:24 - Ambil 103, Masuk 7
2026-04-24 16:47:29 - Ambil 103, Masuk 3
2026-04-24 16:48:32 - Ambil 103, Masuk 0
2026-04-24 16:54:34 - Ambil 103, Masuk 5
2026-04-24 16:55:36 - Ambil 103, Masuk 0
2026-04-24 16:56:39 - Ambil 103, Masuk 0
2026-04-24 16:57:41 - Ambil 103, Masuk 1
2026-04-24 16:58:43 - Ambil 103, Masuk 1
2026-04-24 16:59:47 - Ambil 103, Masuk 3
2026-04-24 17:00:50 - Ambil 103, Masuk 2
2026-04-24 17:01:53 - Ambil 103, Masuk 2
2026-04-24 17:02:57 - Ambil 103, Masuk 3
2026-04-24 17:08:59 - Ambil 103, Masuk 3
2026-04-24 17:10:02 - Ambil 103, Masuk 0
2026-04-24 17:11:04 - Ambil 103, Masuk 2
2026-04-24 21:24:25 - Ambil 103, Masuk 90
2026-04-24 21:25:33 - Ambil 103, Masuk 2
2026-04-26 20:17:31 - Ambil 103, Masuk 103
2026-04-30 11:52:48 - Ambil 103, Masuk 103
2026-04-30 11:53:53 - Ambil 103, Masuk 5
2026-04-30 11:54:56 - Ambil 103, Masuk 1
2026-05-07 14:31:57 - Ambil 101, Masuk 101
2026-05-07 14:33:00 - Ambil 101, Masuk 1
2026-05-07 22:07:20 - Ambil 100, Masuk 95
2026-05-07 22:08:23 - Ambil 100, Masuk 0
2026-05-07 22:09:56 - Ambil 100, Masuk 2
2026-05-07 22:11:29 - Ambil 100, Masuk 2
2026-05-07 22:12:33 - Ambil 100, Masuk 0
2026-05-07 22:13:36 - Ambil 100, Masuk 2
2026-05-07 22:15:09 - Ambil 100, Masuk 2
2026-05-07 22:16:45 - Ambil 100, Masuk 1
2026-05-07 22:17:48 - Ambil 100, Masuk 1
2026-05-07 22:19:31 - Ambil 100, Masuk 2
2026-05-07 22:20:34 - Ambil 100, Masuk 1
2026-05-07 22:21:36 - Ambil 50, Masuk 1
2026-05-07 22:23:19 - Ambil 100, Masuk 3
2026-05-07 22:24:22 - Ambil 100, Masuk 0
2026-05-07 22:25:25 - Ambil 100, Masuk 1
2026-05-07 22:26:29 - Ambil 100, Masuk 1
